,Model,Horizon,apache_groovy,apache_incubator_dubbo,apache_kafka,apache_nifi,apache_ofbiz,apache_systemml,commonsio,google_guava,igniterealtime_openfire,java_websocket,jenkinsci_jenkins,spring-projects_spring-boot,square_okhttp,square_retrofit,zxing_zxing,mean,original_study
0,LinearRegression,1,9.459584563378057,11.057462033190964,1.412308351477437,4.826650004233734,3.1790124879662987,1.3040062849096086,1.0600033943969396,1.2330450952001961,42.47461862048044,6.708490929336546,0.6416978888086327,2.3962931471558218,3.5114064223267354,3.7080897163030464,0.41682817089140217,6.225966474003725,3.47
1,LinearRegression,5,31.44706705645993,19.393754952916485,5.837041364878195,6.404341517515027,9.34928889724541,3.308373620799523,4.176190609971206,3.392487386495842,33.97836879537107,26.60887357005072,2.5413196191553387,4.8631004669629085,6.998669296553939,7.114206515823078,0.7255381795012541,11.075908123313328,8.62
2,LinearRegression,10,431.82731317392216,30.22259944345849,3.977899487354894,5.380735230776604,15.793669614295718,5.2788883982611186,4.761472448679046,7.578969478652098,1454.3799221977886,34.55893973998727,4.239123257744863,24.16928780087623,7.953254670203513,13.048059372035258,2.5193485401828224,136.3792988569479,18.39
3,LinearRegression,20,317.82844596917005,36.44997364854017,5.178097772379316,3.891822065009598,13.158391449199247,7.02071448218515,10.532462359831282,29.177039595586034,150.09182695566633,55.559819384271826,6.278892881768408,9.992269636174985,18.296706161041094,21.980744656783315,0.8356809493701443,45.75152586446514,18.65
4,LinearRegression,40,1250.7955887196308,22.15097245619487,11.369631068145198,5.279112723604578,5.923974374017985,3.09388762057958,8.958072283157772,17.4853476826145,74.32811936553571,17.032087269344313,2.464425566996037,6.716752079492737,19.37361934582129,13.714296874692181,3.771362504784589,97.4971499956408,10.56
5,LassoRegression,1,1.7276414681482213,5.387320693724604,0.8814720419824387,1.0749243067935021,0.19214351175443978,0.6290777508415845,0.58474960114371,0.3361528883091235,24.786838244476584,4.868695871082476,0.4428767327538902,1.4171876461505186,0.7309776120741158,1.4129323410557304,0.2014238045603501,2.9782943009900853,1.39
6,LassoRegression,5,8.592268382308928,6.546740313979883,3.0553850461497687,2.1301908248973356,1.2584511838304815,2.247266372314166,2.199150546301075,1.515975949916582,36.58939237352174,17.85841799480297,1.9892084575103905,4.125335713447031,2.91016996934409,4.512658380803703,0.4912813981194032,6.401459527149837,4.11
7,LassoRegression,10,25.910731791390372,11.90565907256841,4.454681833422488,2.608577452563689,4.49850048438349,4.410693975762492,3.710081454308976,2.056107459827504,1039.1417533596114,42.815689365556764,3.5352346413097506,16.206942468394647,7.226338714201029,5.778983050614066,0.6351615436068392,78.32634244450145,9.24
8,LassoRegression,20,11.184302805099158,11.182040836405953,5.444176765492184,2.4649101174461823,1.9765687279996118,7.644179907171676,5.392503130640918,17.422256616691968,119.85385798677547,43.96072596919597,8.175219042295323,8.143476934460235,10.400466658095922,7.123305300767478,0.9762826287216175,17.42295156181731,10.57
9,LassoRegression,40,17.228906223193057,4.4734270861186545,8.654969269111378,1.7691816226691586,1.4900614316236283,3.249624063269107,9.74070905138031,9.35484248877062,26.854269798166627,23.99713876757071,2.389967349050326,6.386836369729186,14.231799120264245,5.51661275503362,0.4987365213586068,9.055805461153948,8.61
10,RidgeRegression,1,1.7563866104352002,5.25047994820801,0.8963671300592957,1.3331021472477764,0.36395692534486274,0.7881918504479294,0.5858505290122898,0.4598548918257336,15.661376049034883,4.469109333007883,0.5215652472661748,1.4425301491348315,0.8372374167148552,1.5729002456737669,0.19438707175712394,2.4088863696780414,1.44
11,RidgeRegression,5,7.634402063661961,6.395916468192995,3.2438266258187873,2.561565282008209,1.9140269206891476,2.116067344578984,2.1951890529157914,1.641007405630758,39.89989031023657,19.159251789205058,1.9624689393274966,3.829014562375847,2.826225564481924,4.562146287742643,0.4637597166829,6.693650555569939,3.91
12,RidgeRegression,10,23.106983323851672,12.277393770492163,4.941797130007716,2.392181680810939,6.212396077905517,3.7213421133572977,3.6578154145148547,2.5822830283610516,517.8232950222981,41.02716931183038,3.4046496915208926,7.999559776804137,3.960326070636954,5.65263595839448,0.6274626392739002,42.62581940067067,8.34
13,RidgeRegression,20,11.340273170372921,11.406397298519181,5.942926575204774,1.8754690409738946,4.308152322909432,7.8563826580732705,5.476256467899924,7.363252222341157,39.31481850028567,49.780963582275845,10.37657449199531,10.188048700366258,6.507727041278538,6.839396847957877,0.955999855303813,11.968842585050528,10.66
14,RidgeRegression,40,14.071028112438242,4.954434241654392,9.168028785672007,2.254597893862353,2.364745788527503,3.1082264683820187,9.736076139462922,5.055020778278601,25.480366423569045,48.71936925749107,2.770251154378413,5.142833064300503,7.869234330432495,5.571807462581917,0.49898043917866586,9.78433335601401,9.34
15,SGDRegression,1,7.627184904119845,8.135719642543153,1.7626876693339437,2.190540755884558,0.30147866272734286,1.9569649447835527,1.4309005660650027,1.3514389482506792,21.499081220567216,5.776385463574158,0.753409073234554,1.9833343165297215,3.5889998726982077,3.7075408085673303,0.4233157127759989,4.165932170777017,3.19
16,SGDRegression,5,21.81324825013744,12.970128630200392,4.803413687153803,3.9085827256501355,1.563561895151016,2.806677920862255,4.075804943819838,3.1365267928763583,31.959512910411213,12.27965448598342,2.337495982510749,4.314218808244464,4.463554628266048,6.44127332872892,0.5618435323234912,7.829033234821304,7.45
