project,model,parameter,value
apache_systemml_measures,RidgeRegression,alpha,1000000
apache_systemml_measures,SGDRegression,max_iter,1000
apache_systemml_measures,SGDRegression,tol,1.00E-03
apache_systemml_measures,SVR_linear,kernel,linear
apache_systemml_measures,SVR_linear,C,10000
apache_systemml_measures,SVR_rbf,kernel,rbf
apache_systemml_measures,SVR_rbf,gamma,0.001
apache_systemml_measures,SVR_rbf,C,10000000
apache_systemml_measures,RandomForestRegressor,n_estimators,5
apache_systemml_measures,RandomForestRegressor,max_depth,10
apache_systemml_measures,RandomForestRegressor,random_state,0
apache_ofbiz_measures,LinearRegression,,
apache_ofbiz_measures,LassoRegression,alpha,100000
apache_ofbiz_measures,RidgeRegression,alpha,100000
apache_ofbiz_measures,SGDRegression,max_iter,1000
apache_ofbiz_measures,SGDRegression,tol,1.00E-03
apache_ofbiz_measures,SVR_linear,kernel,linear
apache_ofbiz_measures,SVR_linear,C,10000
apache_ofbiz_measures,SVR_rbf,kernel,rbf
apache_ofbiz_measures,SVR_rbf,gamma,0.001
apache_ofbiz_measures,SVR_rbf,C,1000000
apache_ofbiz_measures,RandomForestRegressor,n_estimators,10
apache_ofbiz_measures,RandomForestRegressor,max_depth,10
apache_ofbiz_measures,RandomForestRegressor,random_state,0
apache_nifi_measures,LinearRegression,,
apache_nifi_measures,LassoRegression,alpha,100000
apache_nifi_measures,RidgeRegression,alpha,10000
apache_nifi_measures,SGDRegression,max_iter,1000
apache_nifi_measures,SGDRegression,tol,1.00E-03
apache_nifi_measures,SVR_linear,kernel,linear
apache_nifi_measures,SVR_linear,C,10000
apache_nifi_measures,SVR_rbf,kernel,rbf
apache_nifi_measures,SVR_rbf,gamma,0.001
apache_nifi_measures,SVR_rbf,C,10000000
apache_nifi_measures,RandomForestRegressor,n_estimators,100
apache_nifi_measures,RandomForestRegressor,max_depth,20
apache_nifi_measures,RandomForestRegressor,random_state,0
apache_kafka_measures,LinearRegression,,
apache_kafka_measures,LassoRegression,alpha,100000
apache_kafka_measures,RidgeRegression,alpha,1000000
apache_kafka_measures,SGDRegression,max_iter,1000
apache_kafka_measures,SGDRegression,tol,1.00E-03
apache_kafka_measures,SVR_linear,kernel,linear
apache_kafka_measures,SVR_linear,C,10000
apache_kafka_measures,SVR_rbf,kernel,rbf
apache_kafka_measures,SVR_rbf,gamma,0.01
apache_kafka_measures,SVR_rbf,C,10000
apache_kafka_measures,RandomForestRegressor,n_estimators,100
apache_kafka_measures,RandomForestRegressor,random_state,0
apache_incubator_dubbo_measures,LinearRegression,,
apache_incubator_dubbo_measures,LassoRegression,alpha,100000
apache_incubator_dubbo_measures,RidgeRegression,alpha,1000000
apache_incubator_dubbo_measures,SGDRegression,max_iter,1000
apache_incubator_dubbo_measures,SGDRegression,tol,1.00E-03
apache_incubator_dubbo_measures,SVR_linear,kernel,linear
apache_incubator_dubbo_measures,SVR_linear,C,100
apache_incubator_dubbo_measures,SVR_rbf,kernel,rbf
apache_incubator_dubbo_measures,SVR_rbf,gamma,0.001
apache_incubator_dubbo_measures,SVR_rbf,C,100000
apache_incubator_dubbo_measures,RandomForestRegressor,n_estimators,5
apache_incubator_dubbo_measures,RandomForestRegressor,max_depth,20
apache_incubator_dubbo_measures,RandomForestRegressor,random_state,0
apache_groovy_measures,LinearRegression,,
apache_groovy_measures,LassoRegression,alpha,10000
apache_groovy_measures,RidgeRegression,alpha,100000
apache_groovy_measures,SGDRegression,max_iter,1000
apache_groovy_measures,SGDRegression,tol,1.00E-03
apache_groovy_measures,SVR_linear,kernel,linear
apache_groovy_measures,SVR_linear,C,10000
apache_groovy_measures,SVR_rbf,kernel,rbf
apache_groovy_measures,SVR_rbf,gamma,0.001
